161	46	f
160	56	f
163	50	f
169	54	f
160	48	f
161	57	f
160	50	f
167	53	f
170	60	f
162	50	f
170	53	f
164	51	f
160	47	f
164	58	f
166	57	f
174	56	f
158	48	f
158	50	f
169	56	f
160	57	f
165	53	f
162	55	f
171	55	f
158	47	f
160	54	f
158	47	f
164	48	f
158	52	f
160	46	F
165	49	F
170	55	F
160	50	F
156	45	F
163	50	F
160	60	F
163	55	F
161	47	F
160	47	F
160	47	F
160	48	F
169	48	F
160	47	F
155	60	F
160	60	F
173	64	F
160	67	F
155	55	F
160	50	F
168	48	F
160	45	F
162	52	F
157	54	F
166	55	F
162	43	F
160	53	F
163	48	F
164	46	F
162	44	F
155	48	F
173	54	F
168	53	F
163	57	F
155	48	F
155	40	F
163	46	F
155	41	F
167	55	F
164	55	F
161	45	F
160	60	F
156	49	F
163	50	F
166	47	F
168	57	F
160	50	F
163	47.5	F
157	50	F
163	51	F
178	84	M
173	67	M
185	100	M
165	65	M
173	70	M
178	62	M
173	64	M
175	62.5	M
170	55	M
170	51	M
170	50	M
170	58	M
176	68	M
178	80	M
174	64	M
175	60	M
175	70	M
178	63	M
175	64	M
175	82	M
182	68	M
169	58	M
173	60	M
170	62	M
178	68	M
178	85	M
170	70	M
173	65	M
168	52	M
168	77	M
170	70	M
175	64	M
172	69	M
175	70	M
173	70	M
180	80	M
166	58	M
173	60	M
183	77	M
174	65	M
176	62	M
186	75	M
170	58	M
170	65	M
178	60	M
168	75	M
175	70	M
171	65	M
170	70	M
170	65	M
168	66	M
175	68	M
175	66	M
180	65	M
172	70	M
180	66	M
173	67	M
171	65	M
175	67	M
174	62	M
172	63	M
178	95	M
173	65	M
165	62	M
168	50	M
174	66	M
170	65	M
168	70	M
178	75	M
181	58	M
179	60	M
176	71	M
180	68	M
176	65	M
172	57	M
175	60	M
165	60	M
178	66	M
181.5	83	M
171	53	M
172	63	M
170	54	M
165	53	M
185	73	M
177	60	M
170	55	M
176	69	M
178	62	M
182	63	M
170	80	M
180	100	M
179.5	75	M
173	65	M
178	73	M
173	55	M
180	71	M
171	64	M
178	69	M
184	64	M
180	80	M
176	70	M
169	65	M
170	60	M
176	72	M
187	78	M
176	75	M
185	65	M
178	75	M
172	61	M
180	85	M
186	88	M
167	50	M
174	75	M
170	60	M
183	80	M
173	65	M
180	55	M
183	65	M
178	80	M
178	65	M
168	64	M
171	68	M
170	60	M
173	60	M
173	60	M
173	70	M
175	60	M
181	70	M
180	67	M
175	65	M
178	73	M
190	85	M
178	74	M
168	63	M
172	63	M
181	67	M
185	76	M
186	74	M
169	60	M
178	90	M
178	70	M
176	58	M
174	68	M
178	60	M
176	72	M
180	65	M
175	65	M
182	60	M
172	65	M
170	65	M
168	53	M
174	65	M
178	68	M
177	68	M
174	62	M
175	65	M
172	82	M
193	90	M
174	78	M
178	65	M
174	55	M
179	70	M
189	78	M
176	62	M
172	82	M
174	85	M
171	55	M
178	66	M
177	65	M
174	70	M
186	72	M
172	50	M
175	60	M
175	75	M
177	70	M
170	75	M
175	60	M
173	75	M
179	85	M
173	100	M
170	77	M
170	55	M
174	68	M
173	125	M
178	63	M
171	55	M
165	55	M
189	74	M
173	65	M
167	62	M
169	52	M
170	60	M
176	72	M
176	65	M
175	66	M
174	54	M
173	65	M
173	63	M
178	65	M
179	67	M
182	65	M
165	65	M
186	78	M
162	50	M
163	55	M
186	75	M
178	90	M
180	67.5	M
170	65	M
174	80	M
173	84	M
174	66	M
177	59.5	M
163	52	M
177	64	M
175	70	M
169	56	M
178	60	M
173	55	M
183	73	M
170	62	M
169	73	M
183	60	M
162	56.5	M
178	68	M
178	65	M
168	56	M
173	56	M
179	63	M
179	80	M
170	75	M
172	69	M
175	70	M
178	65	M
179	74	M
171	75	M
180	60	M
175	60	M
170	58	M
185	68.5	M
175	64	M
173	60	M
172	70	M
177	65	M
182	72	M
172	70	M
177	58	M
175	60	M
175	68	M
173	63	M
